AS_OF_DATE,SKU,TTL_INV_DC,SRP,CHANGED_SRP,WEEKLY_SALES,TTL_INV_LOC,TTL_INT_LOC,DESCR,PARENT_MODEL,PHONE_MODEL,OEM
12/24/2022,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK, ,NONE,GTB
12/31/2022,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
1/7/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
1/21/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
1/28/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
2/4/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
2/11/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
2/18/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
2/25/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
3/4/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
3/11/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
3/18/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
3/25/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
4/1/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
4/8/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
5/6/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
5/13/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
10/8/2022,4898Q,1897,29.99,29.99,157,8822,99,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
10/15/2022,4898Q,1699,29.99,29.99,187,8873,23,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
10/22/2022,4898Q,1499,29.99,29.99,168,8849,42,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
10/29/2022,4898Q,1576,29.99,29.99,141,8864,29,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
11/5/2022,4898Q,1161,29.99,29.99,117,9075,30,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
11/12/2022,4898Q,1010,29.99,29.99,104,9055,34,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
11/19/2022,4898Q,916,29.99,29.99,106,9056,22,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
12/3/2022,4898Q,1154,29.99,29.99,93,9137,34,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
12/10/2022,4898Q,934,29.99,29.99,114,9137,27,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
12/17/2022,4898Q,795,29.99,29.99,113,9117,21,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
12/24/2022,4898Q,711,29.99,29.99,171,9010,26,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
12/31/2022,4898Q,544,29.99,29.99,155,8967,37,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
1/7/2023,4898Q,1486,29.99,29.99,79,8974,32,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
1/21/2023,4898Q,510,29.99,29.99,132,8925,38,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
1/28/2023,4898Q,1186,29.99,29.99,106,8906,25,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
2/4/2023,4898Q,1507,29.99,29.99,95,8888,28,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
2/11/2023,4898Q,1282,29.99,29.99,87,8929,22,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
2/18/2023,4898Q,1197,29.99,29.99,81,8911,16,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
2/25/2023,4898Q,1104,29.99,29.99,82,8882,16,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
10/8/2022,4165R,31,50,50,99,1945,8,CAS BGL CQXHNECMB IPH 14P BLU,IPH 14P,HERMI,BGL
10/15/2022,4165R,2,50,50,89,1965,95,CAS BGL CQXHNECMB IPH 14P BLU,IPH 14P,HERMI,BGL
10/22/2022,4165R,1,50,50,102,1943,3,CAS BGL CQXHNECMB IPH 14P BLU,IPH 14P,HERMI,BGL
10/29/2022,4165R,1,50,50,101,1841,0,CAS BGL CQXHNECMB IPH 14P BLU,IPH 14P,HERMI,BGL
11/5/2022,4165R,0,50,50,87,1739,1,CAS BGL CQXHNECMB IPH 14P BLU,IPH 14P,HERMI,BGL
11/12/2022,4165R,0,50,50,75,1654,0,CAS BGL CQXHNECMB IPH 14P BLU,IPH 14P,HERMI,BGL
10/29/2022,4508R,6664,40,40,0,0,0,CAS CSM CQELCDASY IPH1413 MUL,IPH1413,RON,CSM
11/5/2022,4508R,-682,40,40,64,5765,823,CAS CSM CQELCDASY IPH1413 MUL,IPH1413,RON,CSM
11/12/2022,4508R,-539,40,40,316,6136,2,CAS CSM CQELCDASY IPH1413 MUL,IPH1413,RON,CSM
11/19/2022,4508R,-550,40,40,335,5759,0,CAS CSM CQELCDASY IPH1413 MUL,IPH1413,RON,CSM
12/3/2022,4508R,-863,40,40,340,4883,0,CAS CSM CQELCDASY IPH1413 MUL,IPH1413,RON,CSM
12/10/2022,4508R,-511,40,40,292,4494,6,CAS CSM CQELCDASY IPH1413 MUL,IPH1413,RON,CSM
10/8/2022,4870Q,384,16.99,16.99,171,8384,4,ATC SKT POPSOCKET 800857T BLK,POP,800857T,SKT
10/15/2022,4870Q,903,16.99,16.99,160,8308,30,ATC SKT POPSOCKET 800857T BLK,POP,800857T,SKT
10/22/2022,4870Q,1314,16.99,16.99,184,8170,18,ATC SKT POPSOCKET 800857T BLK,POP,800857T,SKT
10/29/2022,4870Q,1503,16.99,16.99,146,8066,23,ATC SKT POPSOCKET 800857T BLK,POP,800857T,SKT
11/5/2022,4870Q,2261,16.99,16.99,141,7933,14,ATC SKT POPSOCKET 800857T BLK,POP,800857T,SKT
11/12/2022,4870Q,2174,16.99,16.99,123,7834,28,ATC SKT POPSOCKET 800857T BLK,POP,800857T,SKT
11/19/2022,4870Q,878,16.99,16.99,109,8127,836,ATC SKT POPSOCKET 800857T BLK,POP,800857T,SKT
12/3/2022,4870Q,480,16.99,16.99,198,8810,66,ATC SKT POPSOCKET 800857T BLK,POP,800857T,SKT
10/8/2022,4367Q,0,29.99,29.99,0,0,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
10/15/2022,4367Q,0,29.99,29.99,0,0,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
10/22/2022,4367Q,0,29.99,29.99,0,0,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
10/29/2022,4367Q,0,29.99,29.99,0,0,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
11/5/2022,4367Q,0,29.99,29.99,0,0,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
11/12/2022,4367Q,3,29.99,29.99,0,3,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
11/19/2022,4367Q,3,29.99,29.99,0,3,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
12/3/2022,4367Q,3,29.99,29.99,0,1,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
12/10/2022,4367Q,3,29.99,29.99,0,2,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
12/17/2022,4367Q,0,29.99,29.99,0,2,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
12/24/2022,4367Q,0,29.99,29.99,0,2,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
12/31/2022,4367Q,0,29.99,29.99,0,2,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
1/7/2023,4367Q,0,29.99,29.99,0,2,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
1/21/2023,4367Q,0,29.99,29.99,0,2,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
1/28/2023,4367Q,0,29.99,29.99,0,2,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
2/4/2023,4367Q,3,29.99,29.99,0,2,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
2/11/2023,4367Q,3,29.99,29.99,0,2,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
2/18/2023,4367Q,3,29.99,29.99,0,2,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
2/25/2023,4367Q,3,29.99,29.99,0,1,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
3/4/2023,4367Q,3,29.99,29.99,1,1,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
3/11/2023,4367Q,3,29.99,29.99,0,1,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
3/18/2023,4367Q,3,29.99,29.99,0,1,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
3/25/2023,4367Q,3,29.99,29.99,0,1,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
4/1/2023,4367Q,3,29.99,29.99,0,1,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
4/8/2023,4367Q,0,29.99,29.99,0,1,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
5/6/2023,4367Q,0,29.99,29.99,0,1,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
5/13/2023,4367Q,3,29.99,29.99,0,1,0,APP CGE CYNCOUTDR SMRTPLG BLK,CGE,SMRTPLG,CGE
10/8/2022,4317R,1496,45,45,85,8964,12,CAS BGL CQXBUMPER IPH14PL CLR,IPH14PL,HAGRD,BGL
10/15/2022,4317R,1446,45,45,234,8742,8,CAS BGL CQXBUMPER IPH14PL CLR,IPH14PL,HAGRD,BGL
10/22/2022,4317R,1084,45,45,222,8738,60,CAS BGL CQXBUMPER IPH14PL CLR,IPH14PL,HAGRD,BGL
10/29/2022,4317R,1048,45,45,203,8598,6,CAS BGL CQXBUMPER IPH14PL CLR,IPH14PL,HAGRD,BGL
10/8/2022,4215R,24848,65,65,2769,29556,374,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
10/15/2022,4215R,24041,65,65,2432,29409,471,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
10/22/2022,4215R,19847,65,65,2530,29068,520,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
10/29/2022,4215R,20562,65,65,2448,28982,464,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
11/5/2022,4215R,21837,65,65,2371,28512,620,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
11/12/2022,4215R,18383,65,65,2527,28424,611,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
11/19/2022,4215R,5507,65,65,2561,38605,1609,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
12/3/2022,4215R,7609,65,65,4145,32776,453,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
12/10/2022,4215R,5257,65,65,3690,30058,639,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
12/17/2022,4215R,2136,65,65,3527,27891,939,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
12/24/2022,4215R,1222,65,65,4153,25170,1020,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
12/31/2022,4215R,7620,65,65,3459,23463,1433,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
1/7/2023,4215R,6856,65,65,1685,23026,197,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
1/21/2023,4215R,15,65,65,3266,21978,324,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
1/28/2023,4215R,71,65,65,2881,19184,834,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
2/4/2023,4215R,21,65,65,2356,17076,207,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
2/11/2023,4215R,8102,65,65,1955,16223,171,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
2/18/2023,4215R,7975,65,65,2210,18671,555,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
2/25/2023,4215R,8788,65,65,2897,17735,659,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
3/4/2023,4215R,4670,65,65,3041,17538,707,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
3/11/2023,4215R,6431,65,65,2921,17211,1034,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
3/18/2023,4215R,11224,65,65,3042,17093,787,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
3/25/2023,4215R,8951,65,65,2909,16994,615,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
4/1/2023,4215R,7099,65,65,2902,16605,703,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
4/8/2023,4215R,7523,65,65,2649,16167,468,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
5/6/2023,4215R,6793,65,65,2549,15194,712,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
5/13/2023,4215R,4202,65,65,2544,14913,736,CAS OBX DEFNDRPRO IPH1413 BLK,IPH1413,RON,OBX
10/29/2022,4597R,30,79.99,79.99,0,0,0,SPK ION SLAMJAM BT UNIV BLK,ION,BT UNIV,ION
11/5/2022,4597R,30,79.99,79.99,0,0,0,SPK ION SLAMJAM BT UNIV BLK,ION,BT UNIV,ION
11/12/2022,4597R,0,79.99,79.99,0,0,0,SPK ION SLAMJAM BT UNIV BLK,ION,BT UNIV,ION
11/19/2022,4597R,0,79.99,79.99,0,0,0,SPK ION SLAMJAM BT UNIV BLK,ION,BT UNIV,ION
12/3/2022,4597R,0,79.99,79.99,0,0,0,SPK ION SLAMJAM BT UNIV BLK,ION,BT UNIV,ION
12/10/2022,4597R,0,79.99,79.99,0,0,0,SPK ION SLAMJAM BT UNIV BLK,ION,BT UNIV,ION
12/17/2022,4597R,0,79.99,79.99,0,0,0,SPK ION SLAMJAM BT UNIV BLK,ION,BT UNIV,ION
12/24/2022,4597R,0,79.99,79.99,0,0,0,SPK ION SLAMJAM BT UNIV BLK,ION,BT UNIV,ION
12/31/2022,4597R,0,79.99,79.99,0,0,0,SPK ION SLAMJAM BT UNIV BLK,ION,BT UNIV,ION
1/7/2023,4597R,0,79.99,79.99,0,1,0,SPK ION SLAMJAM BT UNIV BLK,ION,BT UNIV,ION
1/21/2023,4597R,0,79.99,79.99,0,0,0,SPK ION SLAMJAM BT UNIV BLK,ION,BT UNIV,ION
1/28/2023,4597R,0,79.99,79.99,0,0,0,SPK ION SLAMJAM BT UNIV BLK,ION,BT UNIV,ION
2/4/2023,4597R,0,79.99,79.99,0,0,0,SPK ION SLAMJAM BT UNIV BLK,ION,BT UNIV,ION
2/11/2023,4597R,0,79.99,79.99,0,0,0,SPK ION SLAMJAM BT UNIV BLK,ION,BT UNIV,ION
2/18/2023,4597R,0,79.99,79.99,0,0,0,SPK ION SLAMJAM BT UNIV BLK,ION,BT UNIV,ION
2/25/2023,4597R,0,79.99,79.99,0,0,0,SPK ION SLAMJAM BT UNIV BLK,ION,BT UNIV,ION
3/4/2023,4597R,0,79.99,79.99,0,0,0,SPK ION SLAMJAM BT UNIV BLK,ION,BT UNIV,ION
3/11/2023,4597R,0,79.99,79.99,0,0,0,SPK ION SLAMJAM BT UNIV BLK,ION,BT UNIV,ION
3/18/2023,4597R,0,79.99,79.99,0,0,0,SPK ION SLAMJAM BT UNIV BLK,ION,BT UNIV,ION
3/25/2023,4597R,0,79.99,79.99,0,0,0,SPK ION SLAMJAM BT UNIV BLK,ION,BT UNIV,ION
4/1/2023,4597R,0,79.99,79.99,0,0,0,SPK ION SLAMJAM BT UNIV BLK,ION,BT UNIV,ION
4/8/2023,4597R,0,79.99,79.99,0,0,0,SPK ION SLAMJAM BT UNIV BLK,ION,BT UNIV,ION
5/6/2023,4597R,0,79.99,79.99,0,0,0,SPK ION SLAMJAM BT UNIV BLK,ION,BT UNIV,ION
5/13/2023,4597R,0,79.99,79.99,0,0,0,SPK ION SLAMJAM BT UNIV BLK,ION,BT UNIV,ION
10/8/2022,4435R,0,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
10/15/2022,4435R,0,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
10/22/2022,4435R,0,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
10/29/2022,4435R,0,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
11/5/2022,4435R,0,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
11/12/2022,4435R,-24,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
11/19/2022,4435R,0,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
12/3/2022,4435R,0,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
12/10/2022,4435R,-24,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
12/17/2022,4435R,24,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
12/24/2022,4435R,24,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
12/31/2022,4435R,24,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
1/7/2023,4435R,30,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
1/21/2023,4435R,24,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
1/28/2023,4435R,24,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
2/4/2023,4435R,24,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
2/11/2023,4435R,30,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
2/18/2023,4435R,24,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
2/25/2023,4435R,12,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
3/4/2023,4435R,0,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
3/11/2023,4435R,0,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
3/18/2023,4435R,6,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
3/25/2023,4435R,6,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
4/1/2023,4435R,6,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
4/8/2023,4435R,6,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
5/6/2023,4435R,66,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
5/13/2023,4435R,66,99.95,99.95,0,0,0,CHR IIP DROPINVEH SONXP5P BLK,SONXP5P,SONXP5P,IIP
10/8/2022,4333Q,11,40,40,0,11,0,APP NVU SILICON44 APLWTCH BLK,NVU,APLWTCH,NVU
10/15/2022,4333Q,11,40,40,0,11,0,APP NVU SILICON44 APLWTCH BLK,NVU,APLWTCH,NVU
10/22/2022,4333Q,11,40,40,0,11,0,APP NVU SILICON44 APLWTCH BLK,NVU,APLWTCH,NVU
10/29/2022,4333Q,11,40,40,0,9,0,APP NVU SILICON44 APLWTCH BLK,NVU,APLWTCH,NVU
11/5/2022,4333Q,0,40,40,0,7,0,APP NVU SILICON44 APLWTCH BLK,NVU,APLWTCH,NVU
11/12/2022,4333Q,0,40,40,0,9,0,APP NVU SILICON44 APLWTCH BLK,NVU,APLWTCH,NVU
11/19/2022,4333Q,0,40,40,0,8,0,APP NVU SILICON44 APLWTCH BLK,NVU,APLWTCH,NVU
12/3/2022,4333Q,0,40,40,0,8,0,APP NVU SILICON44 APLWTCH BLK,NVU,APLWTCH,NVU
12/10/2022,4333Q,0,40,40,0,8,0,APP NVU SILICON44 APLWTCH BLK,NVU,APLWTCH,NVU
12/17/2022,4333Q,0,40,40,0,8,0,APP NVU SILICON44 APLWTCH BLK,NVU,APLWTCH,NVU
12/24/2022,4333Q,0,40,40,0,8,0,APP NVU SILICON44 APLWTCH BLK,NVU,APLWTCH,NVU
12/31/2022,4333Q,0,40,40,0,8,0,APP NVU SILICON44 APLWTCH BLK,NVU,APLWTCH,NVU
1/7/2023,4333Q,0,40,40,0,8,0,APP NVU SILICON44 APLWTCH BLK,NVU,APLWTCH,NVU
1/21/2023,4333Q,0,40,40,0,8,0,APP NVU SILICON44 APLWTCH BLK,NVU,APLWTCH,NVU
1/28/2023,4333Q,0,40,40,0,8,0,APP NVU SILICON44 APLWTCH BLK,NVU,APLWTCH,NVU
2/4/2023,4333Q,0,40,40,0,8,0,APP NVU SILICON44 APLWTCH BLK,NVU,APLWTCH,NVU
2/11/2023,4333Q,0,40,40,0,8,0,APP NVU SILICON44 APLWTCH BLK,NVU,APLWTCH,NVU
2/18/2023,4333Q,0,40,40,0,8,0,APP NVU SILICON44 APLWTCH BLK,NVU,APLWTCH,NVU
10/8/2022,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK, ,PTO SENSOR,VAR
10/15/2022,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK, ,PTO SENSOR,VAR
10/22/2022,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK, ,PTO SENSOR,VAR
10/29/2022,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK, ,PTO SENSOR,VAR
11/5/2022,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK, ,PTO SENSOR,VAR
11/12/2022,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK, ,PTO SENSOR,VAR
11/19/2022,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK, ,PTO SENSOR,VAR
12/3/2022,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK, ,PTO SENSOR,VAR
12/10/2022,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK, ,PTO SENSOR,VAR
12/17/2022,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK, ,PTO SENSOR,VAR
12/24/2022,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK, ,PTO SENSOR,VAR
12/31/2022,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK,UNASSIGNED,PTO SENSOR,VAR
1/7/2023,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK,UNASSIGNED,PTO SENSOR,VAR
1/21/2023,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK,UNASSIGNED,PTO SENSOR,VAR
1/28/2023,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK,UNASSIGNED,PTO SENSOR,VAR
2/4/2023,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK,UNASSIGNED,PTO SENSOR,VAR
2/11/2023,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK,UNASSIGNED,PTO SENSOR,VAR
2/18/2023,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK,UNASSIGNED,PTO SENSOR,VAR
2/25/2023,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK,UNASSIGNED,PTO SENSOR,VAR
3/4/2023,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK,UNASSIGNED,PTO SENSOR,VAR
3/11/2023,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK,UNASSIGNED,PTO SENSOR,VAR
3/18/2023,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK,UNASSIGNED,PTO SENSOR,VAR
3/25/2023,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK,UNASSIGNED,PTO SENSOR,VAR
4/1/2023,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK,UNASSIGNED,PTO SENSOR,VAR
4/8/2023,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK,UNASSIGNED,PTO SENSOR,VAR
5/6/2023,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK,UNASSIGNED,PTO SENSOR,VAR
5/13/2023,4861N,0,4.5,4.5,0,0,0,APP VAR PTO SENSO PTO SENS BLK,UNASSIGNED,PTO SENSOR,VAR
10/8/2022,4415R,877,90,90,27,2305,0,CAS SAM FLPLETHER SMZFLP4 PUR,SMZFLP4,SMZFLP4,SAM
10/15/2022,4415R,852,90,90,32,2276,6,CAS SAM FLPLETHER SMZFLP4 PUR,SMZFLP4,SMZFLP4,SAM
10/22/2022,4415R,829,90,90,18,2300,4,CAS SAM FLPLETHER SMZFLP4 PUR,SMZFLP4,SMZFLP4,SAM
